,name,price,rating,review,url,Manufacturer,Asin
0,"        MOKOBARA Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model)       ","4,490",4.3 out of 5 stars,158 ratings,/sspa/click?ie=UTF8&spc=MTo2MjY3NzM3NjQwNTA5NDgxOjE2ODE5ODExMzU6c3BfYXRmOjIwMTE3Nzk1ODc0MTk4OjowOjo&url=%2FMOKOBARA-Backpack-Leather-Resistant-College%2Fdp%2FB0BR7QR4CF%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1681981135%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1%26smid%3DA2ZJIE4OXD710M,ManufacturerDesignedByMokobaraLifestylePrivateLimited,ASINB0BR7QR4CF
1,"        MOKOBARA The Overnighter Backpack 15.6"" Inch Laptop | Travel Backpack For Men And Women       ","7,999.",4.5 out of 5 stars,37 ratings,/sspa/click?ie=UTF8&spc=MTo2MjY3NzM3NjQwNTA5NDgxOjE2ODE5ODExMzU6c3BfYXRmOjIwMTE3Nzk1ODczMzk4OjowOjo&url=%2FMOKOBARA-Overnighter-Expandable-Resistant-Detachable%2Fdp%2FB0B7X2WB12%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1681981135%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,ManufacturerDesignedByMokobaraLifestylePrivateLimited,ASINB0B7X2WB12
2,,,,,/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1681981135&sprefix=ba%2Caps%2C283&sr=8-3,ManufacturerDesignedByMokobaraLifestylePrivateLimited,ASINB0B7X2WB12
3,        Skybags Brat Black 46 Cms Casual Backpack       ,669.,4.1 out of 5 stars,"4,142 ratings",/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1681981135&sprefix=ba%2Caps%2C283&sr=8-4,ManufacturerVIPIndustriesLtd,ASINB08Z1HHHTD
4,,,,,/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1681981135&sprefix=ba%2Caps%2C283&sr=8-5,ManufacturerVIPIndustriesLtd,ASINB08Z1HHHTD
5,,,,,/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sxin_16_in_ft_top_brands_non_branded_t1?content-id=amzn1.sym.96f246d6-ce72-46fc-883f-32ffe859766d%3Aamzn1.sym.96f246d6-ce72-46fc-883f-32ffe859766d&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07CJCGM1M&pd_rd_r=07733a6b-c516-435e-8526-dd69a3350c91&pd_rd_w=ftin9&pd_rd_wg=HWuiA&pf_rd_p=96f246d6-ce72-46fc-883f-32ffe859766d&pf_rd_r=02DFAMJRCBAKV9YEAPJJ&qid=1681981135&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-fa25b4f9-cd15-464b-8e7e-380c0a70e7f6,ManufacturerVIPIndustriesLtd,ASINB08Z1HHHTD
6,"        American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER       ","1,299",4.1 out of 5 stars,65 ratings,/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sxin_16_in_ft_top_brands_non_branded_t1?content-id=amzn1.sym.96f246d6-ce72-46fc-883f-32ffe859766d%3Aamzn1.sym.96f246d6-ce72-46fc-883f-32ffe859766d&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0BTD4FK9G&pd_rd_r=07733a6b-c516-435e-8526-dd69a3350c91&pd_rd_w=ftin9&pd_rd_wg=HWuiA&pf_rd_p=96f246d6-ce72-46fc-883f-32ffe859766d&pf_rd_r=02DFAMJRCBAKV9YEAPJJ&qid=1681981135&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-2-fa25b4f9-cd15-464b-8e7e-380c0a70e7f6,ManufacturerEXPERTS,ASINB0BTD4FK9G
7,"        American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER       ","1,299",4.3 out of 5 stars,57 ratings,/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sxin_16_in_ft_top_brands_non_branded_t1?content-id=amzn1.sym.96f246d6-ce72-46fc-883f-32ffe859766d%3Aamzn1.sym.96f246d6-ce72-46fc-883f-32ffe859766d&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0BTD4S4XF&pd_rd_r=07733a6b-c516-435e-8526-dd69a3350c91&pd_rd_w=ftin9&pd_rd_wg=HWuiA&pf_rd_p=96f246d6-ce72-46fc-883f-32ffe859766d&pf_rd_r=02DFAMJRCBAKV9YEAPJJ&qid=1681981135&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-3-fa25b4f9-cd15-464b-8e7e-380c0a70e7f6,ManufacturerEXPERTS,ASINB0BTD4S4XF
8,        American Tourister Casual Backpack       ,"1,249",4.1 out of 5 stars,"14,725 ratings",/American-Tourister-AMT-SCH-BAG01/dp/B07CJCFNZG/ref=sxin_16_in_ft_top_brands_non_branded_t1?content-id=amzn1.sym.96f246d6-ce72-46fc-883f-32ffe859766d%3Aamzn1.sym.96f246d6-ce72-46fc-883f-32ffe859766d&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07CJCFNZG&pd_rd_r=07733a6b-c516-435e-8526-dd69a3350c91&pd_rd_w=ftin9&pd_rd_wg=HWuiA&pf_rd_p=96f246d6-ce72-46fc-883f-32ffe859766d&pf_rd_r=02DFAMJRCBAKV9YEAPJJ&qid=1681981135&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-4-fa25b4f9-cd15-464b-8e7e-380c0a70e7f6,DateFirstAvailable18April2018,ManufacturerSamsonite
9,        American Tourister polyester 22 Cms Duffle Bag(At Duffle Icy Blue_Blue)       ,"2,118.",4.8 out of 5 stars,40 ratings,/American-Tourister-Capella-Travel-01004/dp/B09B79LQFM/ref=sxin_16_in_ft_top_brands_non_branded_t1?content-id=amzn1.sym.96f246d6-ce72-46fc-883f-32ffe859766d%3Aamzn1.sym.96f246d6-ce72-46fc-883f-32ffe859766d&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09B79LQFM&pd_rd_r=07733a6b-c516-435e-8526-dd69a3350c91&pd_rd_w=ftin9&pd_rd_wg=HWuiA&pf_rd_p=96f246d6-ce72-46fc-883f-32ffe859766d&pf_rd_r=02DFAMJRCBAKV9YEAPJJ&qid=1681981135&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-5-fa25b4f9-cd15-464b-8e7e-380c0a70e7f6,ManufacturerAMERICANTOURISTER,ASINB09B79LQFM
